(File Created by AutoCAM2D)
N990 G01 X13.156 Y7.079
N1000 G01 X12.419 Y7.78
N1010 G01 X11.402 Y7.783
N1020 G01 X10.66 Y7.087
N1030 G01 X10.563 Y5.801
N1040 G00 Z5
N1050 G00 X9.456 Y14.857
N1060 G01 Z-0.15 F400
N1070 G01 X10.153 Y15.169 F500
N1080 G01 X10.412 Y15.879
N1090 G01 X10.087 Y16.561
N1100 G01 X9.373 Y16.807
N1110 G01 X8.697 Y16.469
N1120 G01 X8.475 Y15.669
N1130 G01 X8.88 Y15.031
N1140 G01 X9.454 Y14.856
N1150 G01 X9.456 Y14.857
N1160 G00 Z5
N1170 G00 X11.158 Y15.245
N1180 G01 Z-0.15 F400
N1190 G01 X11.81 Y14.865 F500
N1200 G01 X11.954 Y14.856
N1210 G01 X11.956 Y14.857
N1220 G01 X12.653 Y15.169
N1230 G01 X12.912 Y15.879
N1240 G01 X12.587 Y16.561
N1250 G01 X12.329 Y16.727
N1260 G01 X12.214 Y17.498
N1270 G01 X10.946 Y18.606
N1280 G01 X5.232 Y18.606
N1290 G01 X4.427 Y19.411
N1300 G01 X23.578 Y19.345
N1310 G01 X24.162 Y18.867
N1320 G01 X24.913 Y18.948
N1330 G01 X25.381 Y19.541
N1340 G01 X25.285 Y20.291
N1350 G01 X24.684 Y20.748
N1360 G01 X23.936 Y20.638
N1370 G01 X23.546 Y20.194
N1380 G01 X3.647 Y20.194
N1390 G01 X2.124 Y21.714
N1400 G01 X2.127 Y22.339
N1410 G01 X4.599 Y24.81
N1420 G01 X5.679 Y24.746
N1430 G01 X6.37 Y24.181
N1440 G01 X7.246 Y24.35
N1450 G01 X7.676 Y25.131
N1460 G01 X7.351 Y25.962
N1470 G01 X6.505 Y26.244
N1480 G01 X5.747 Y25.774
N1490 G01 X5.654 Y25.59
N1500 G01 X4.158 Y25.477
N1510 G01 X1.345 Y22.514
N1520 G01 X1.458 Y21.273
N1530 G01 X5.055 Y17.824
N1540 G01 X10.783 Y17.823
N1550 G01 X11.549 Y17.056
N1560 G01 X11.433 Y16.669
N1570 G01 X10.987 Y16.053
N1580 G01 X11.158 Y15.245
N1590 G00 Z5
N1600 G00 X13.566 Y14.858
N1610 G01 Z-0.15 F400
N1620 G01 X15.412 Y14.962 F500
N1630 G01 X15.414 Y15.444
N1640 G01 X17.254 Y15.556
N1650 G01 X18.571 Y16.873
N1660 G01 X23.495 Y16.871
N1670 G01 X20.397 Y13.622
N1680 G01 X20.499 Y7.155
N1690 G01 X22.371 Y5.439
N1700 G01 X38.728 Y5.439
N1710 G01 X38.731 Y5.439
N1720 G01 X40.137 Y6.692
N1730 G01 X40.312 Y20.694
N1740 G01 X40.78 Y21.287
N1750 G01 X40.685 Y22.037
N1760 G01 X40.231 Y22.443
N1770 G01 X40.118 Y23.57
N1780 G01 X38.256 Y25.274
N1790 G01 X31.162 Y25.171
N1800 G01 X29.446 Y23.299
N1810 G01 X29.558 Y20.798
N1820 G01 X31.106 Y19.411
N1830 G01 X31.782 Y18.867
N1840 G01 X32.533 Y18.948
N1850 G01 X33.001 Y19.541
N1860 G01 X32.905 Y20.291
N1870 G01 X32.304 Y20.748
N1880 G01 X31.556 Y20.638
N1890 G01 X31.202 Y20.262
N1900 G01 X30.228 Y21.236
N1910 G01 X30.229 Y23.131
N1920 G01 X31.588 Y24.492
N1930 G01 X38.093 Y24.491
N1940 G01 X39.449 Y23.132
N1950 G01 X39.34 Y22.387
N1960 G01 X38.889 Y21.769
N1970 G01 X39.06 Y20.961
N1980 G01 X39.448 Y20.655
N1990 G01 X39.448 Y7.1
N2000 G01 X38.568 Y6.224
N2010 G01 X22.537 Y6.222
N2020 G01 X21.179 Y7.581
N2030 G01 X21.179 Y13.452
N2040 G01 X24.162 Y16.327
N2050 G01 X24.913 Y16.408
N2060 G01 X25.381 Y17.001
N2070 G01 X25.285 Y17.751
N2080 G01 X24.684 Y18.208
N2090 G01 X23.936 Y18.098
N2100 G01 X23.546 Y17.654
N2110 G01 X18.142 Y17.549
N2120 G01 X16.813 Y16.222
N2130 G01 X15.415 Y16.224
N2140 G01 X15.289 Y16.809
N2150 G01 X13.462 Y16.704
N2160 G01 X13.566 Y14.858
N2170 G00 Z5
N2180 G00 X22.46 Y12.5
N2190 G01 Z-0.15 F400
N2200 G01 X22.568 Y9.371 F500
N2210 G01 X23.961 Y8.138
N2220 G01 X26.117 Y8.073
N2230 G01 X26.701 Y7.594
N2240 G01 X26.996 Y7.553
N2250 G01 X26.999 Y7.553
N2260 G01 X27.696 Y7.866
N2270 G01 X27.955 Y8.576
N2280 G01 X27.63 Y9.258
N2290 G01 X26.915 Y9.504
N2300 G01 X26.24 Y9.166
N2310 G01 X26.085 Y8.921
N2320 G01 X24.126 Y8.921
N2330 G01 X23.245 Y9.802
N2340 G01 X23.243 Y12.334
N2350 G01 X24.913 Y13.868
N2360 G01 X25.381 Y14.461
N2370 G01 X25.285 Y15.211
N2380 G01 X24.684 Y15.668
N2390 G01 X23.936 Y15.558
N2400 G01 X23.49 Y14.943
N2410 G01 X23.661 Y14.135
N2420 G01 X23.792 Y13.996
N2430 G01 X22.46 Y12.5
N2440 G00 Z5
N2450 G00 X29.681 Y8.75
N2460 G01 Z-0.15 F400
N2470 G01 X29.852 Y7.942 F500
N2480 G01 X30.505 Y7.562
N2490 G01 X30.648 Y7.553
N2500 G01 X30.651 Y7.553
N2510 G01 X31.347 Y7.866
N2520 G01 X31.525 Y8.138
N2530 G01 X34.396 Y8.248
N2540 G01 X36.103 Y10.113
N2550 G01 X36.107 Y14.806
N2560 G01 X37.548 Y14.741
N2570 G01 X38.133 Y14.262
N2580 G01 X38.884 Y14.344
N2590 G01 X39.351 Y14.937
N2600 G01 X39.256 Y15.686
N2610 G01 X38.654 Y16.143
N2620 G01 X37.907 Y16.034
N2630 G01 X37.517 Y15.59
N2640 G01 X36.103 Y15.593
N2650 G01 X36.202 Y20.731
N2660 G01 X36.904 Y21.044
N2670 G01 X37.163 Y21.753
N2680 G01 X36.838 Y22.435
N2690 G01 X36.124 Y22.681
N2700 G01 X35.448 Y22.344
N2710 G01 X35.294 Y22.099
N2720 G01 X33.036 Y22.099
N2730 G01 X32.926 Y23.318
N2740 G01 X31.085 Y23.213
N2750 G01 X31.189 Y21.367
N2760 G01 X35.322 Y21.264
N2770 G01 X35.32 Y10.28
N2780 G01 X33.961 Y8.92
N2790 G01 X31.476 Y9.018
N2800 G01 X30.875 Y9.475
N2810 G01 X30.127 Y9.365
N2820 G01 X29.681 Y8.75
N2830 G00 Z5
N2840 G00 X31.782 Y16.327
N2850 G01 Z-0.15 F400
N2860 G01 X32.533 Y16.408 F500
N2870 G01 X33.001 Y17.001
N2880 G01 X32.905 Y17.751
N2890 G01 X32.304 Y18.208
N2900 G01 X31.556 Y18.098
N2910 G01 X31.166 Y17.654
N2920 G01 X30.476 Y17.654
N2930 G01 X28.967 Y19.162
N2940 G01 X28.966 Y28.062
N2950 G01 X30.953 Y30.049
N2960 G01 X34.535 Y30.048
N2970 G01 X34.649 Y29.261
N2980 G01 X36.255 Y29.369
N2990 G01 X36.151 Y30.982
N3000 G01 X34.535 Y30.878
N3010 G01 X23.809 Y30.831
N3020 G01 X23.084 Y31.555
N3030 G01 X23.084 Y32.835
N3040 G01 X24.069 Y32.946
N3050 G01 X23.967 Y35.983
N3060 G01 X21.318 Y35.882
N3070 G01 X21.316 Y34.797
N3080 G01 X20.209 Y34.685
N3090 G01 X17.779 Y32.255
N3100 G01 X10.484 Y32.253
N3110 G01 X9.158 Y33.576
N3120 G01 X9.05 Y35.976
N3130 G01 X6.404 Y35.875
N3140 G01 X6.505 Y32.827
N3150 G01 X8.806 Y32.825
N3160 G01 X10.317 Y31.47
N3170 G01 X18.202 Y31.573
N3180 G01 X20.646 Y34.015
N3190 G01 X21.319 Y34.017
N3200 G01 X21.427 Y32.833
N3210 G01 X22.302 Y32.832
N3220 G01 X22.415 Y31.116
N3230 G01 X23.644 Y30.048
N3240 G01 X29.844 Y30.048
N3250 G01 X28.184 Y28.229
N3260 G01 X28.245 Y18.793
N3270 G01 X30.303 Y16.871
N3280 G01 X31.198 Y16.805
N3290 G01 X31.782 Y16.327
N3300 G00 Z5
N3310 G00 X37.556 Y29.348
N3320 G01 Z-0.15 F400
N3330 G01 X38.32 Y29.352 F500
N3340 G01 X38.71 Y29.763
N3350 G01 X43.655 Y29.698
N3360 G01 X44.345 Y29.133
N3370 G01 X44.637 Y29.101
N3380 G01 X44.64 Y29.101
N3390 G01 X45.436 Y29.51
N3400 G01 X45.629 Y30.381
N3410 G01 X45.081 Y31.088
N3420 G01 X44.189 Y31.118
N3430 G01 X43.629 Y30.542
N3440 G01 X40.866 Y30.543
N3450 G01 X40.755 Y33.094
N3460 G01 X38.892 Y34.8
N3470 G01 X27.539 Y34.898
N3480 G01 X26.968 Y35.746
N3490 G01 X26.584 Y35.922
N3500 G01 X26.47 Y36.584
N3510 G01 X25.56 Y37.333
N3520 G01 X13.612 Y37.272
N3530 G01 X12.056 Y35.732
N3540 G01 X11.061 Y35.96
N3550 G01 X10.187 Y35.44
N3560 G01 X9.902 Y34.464
N3570 G01 X10.102 Y33.487
N3580 G01 X10.914 Y32.874
N3590 G01 X11.925 Y32.986
N3600 G01 X12.583 Y33.762
N3610 G01 X12.552 Y35.117
N3620 G01 X13.98 Y36.549
N3630 G01 X25.393 Y36.55
N3640 G01 X25.804 Y36.142
N3650 G01 X25.689 Y35.889
N3660 G01 X24.947 Y35.193
N3670 G01 X24.85 Y33.907
N3680 G01 X25.424 Y33.067
N3690 G01 X26.418 Y32.851
N3700 G01 X27.289 Y33.376
N3710 G01 X27.55 Y34.014
N3720 G01 X38.723 Y34.017
N3730 G01 X40.084 Y32.658
N3740 G01 X40.079 Y30.543
N3750 G01 X38.67 Y30.569
N3760 G01 X38.025 Y30.978
N3770 G01 X37.309 Y30.713
N3780 G01 X37.09 Y29.953
N3790 G01 X37.556 Y29.348
N3800 G00 Z5
N3810 G00 X48.031 Y1.724
N3820 G01 Z-0.15 F400
N3830 G01 X47.355 Y1.387 F500
N3840 G01 X47.133 Y0.586
N3850 G01 X47.539 Y-0.052
N3860 G01 X48.112 Y-0.226
N3870 G01 X48.115 Y-0.226
N3880 G01 X48.812 Y0.086
N3890 G01 X49.071 Y0.796
N3900 G01 X48.746 Y1.478
N3910 G01 X48.031 Y1.724
N3920 G00 Z5
N3930 G00 X0 Y0
N3940 M05
M02

